X,Y,OBJECTID,BUS_TYPE,BUS_NAME,BUS_ADDRESS,ST_NAME,NBRHD,SUBREGION,MATCH_ADDR,BUS_URL,LON,LAT,GLOBALID
447555.526980177,552922.640770108,48,Food,Kristine's,51 Witherspoon Street,Witherspoon,Princeton,Mercer,"51 Witherspoon Street, Princeton, NJ, 08542",https://www.kristinesprinceton.com/,-74.66002091,40.35127082,cac975ad-4c74-4067-9b17-1d44f6030482
447517.162227508,552635.663981855,49,Food,La Mezaluna,25 Witherspoon Street,Witherspoon,Princeton,Mercer,"25 Witherspoon Street, Princeton, NJ, 08542",https://www.lamezzaluna.com/,-74.6600583,40.35051851,f020e1be-8f01-46c0-ac83-6937ec4b53a1
447845.543132424,552474.607217357,50,Shopping,Labyrinth Books,122 Nassau Street,Nassau,Princeton,Mercer,"122 Nassau Street, Princeton, NJ, 08542",https://www.labyrinthbooks.com/,-74.658879,40.350078,4baa374b-daed-4079-b684-b660ca52759c
449986.625792511,557299.424011275,51,Food,Lillipies Bakery,301 North Harrison Street,Harrison,Princeton,Mercer,"301 North Harrison Street, Princeton, NJ, 08540",https://lillipies.com/,-74.65140635,40.36319438,c7af2e59-8b23-45d4-8870-69de1dd32d28
446749.150312092,552091.658836275,52,Food,Milk and Cookies,20 Nassau Street,Nassau,Princeton,Mercer,"20 Nassau Street, Princeton, NJ, 08542",https://milkncookies.online/,-74.66284282,40.34907883,fa468e3e-97ac-4588-809a-78a212c63078
446773.260500092,552710.189751439,53,Shopping,Princeton Corkscrew Wine Shop,49 Hulfish Street,Hulfish,Princeton,Mercer,"49 Hulfish Street, Princeton, NJ, 08542",https://www.princetoncorkscrew.com/,-74.66274686,40.3506528,4167e014-c439-4f7b-8fef-5414e0968c37
450028.966915175,553328.401113443,54,Food,Nassau Street Seafood,256 Nassau Street,Nassau,Princeton,Mercer,"256 Nassau Street, Princeton, NJ, 08542",https://www.nassaustreetseafood.com/,-74.65114761,40.35254639,63e63aa4-22bb-4f24-aa80-f3bbba33ae97
449732.799200427,557379.491764523,55,Food,Nomad Pizza,301 North Harrison Street,Harrison,Princeton,Mercer,"301 North Harrison Street, Princeton, NJ, 08540",http://www.nomadpizzaco.com/,-74.65218628,40.36352582,fff754d9-2824-4b63-af3a-b978dc17206b
447726.439696092,549168.506874189,56,Shopping,Princeton Farmer's Market,172 Alexander Street,Alexander,Princeton,Mercer,"172 Alexander Street, Princeton, NJ, 08540",https://www.princetonfarmersmarket.com/,-74.65881428,40.34090066,f21f2b32-0034-4553-8534-06461a43f754
448234.550556511,552598.49312444,57,Attraction,Princeton Garden Theatre,160 Nassau Street,Nassau,Princeton,Mercer,"160 Nassau Street, Princeton, NJ, 08542",https://princetongardentheatre.org/,-74.657484,40.35042,e8e6c223-f29c-4b35-94d2-7a04d36103b7
